"variant_id","item_id","product_name","category","sku","barcode"
"45c6b653-d471-4578-ba8c-dfd704f5f829","97f11603-d2dc-4afa-b674-042022b8b71a","A Thousand Wishes - 2.5 FL EDP","Floral","",""
"6af72b03-910e-41d2-a4ba-f5b9ee61eb7d","7e2bf8db-41e6-4d4d-8c6e-72b8e1f3acab","Acqua Di Gio - Giorgio Armani 0.5 + 2.5 FL Set","Woody","",""
"fa7a533d-d2d4-417e-9324-fd3176ae6650","2f9ad3cd-4f2f-4074-8f0d-18ab5925c551","Al Haramain - L’Aventure Rose 6.76 FL.OZ","Gourmand","",""
"f4f0ba4d-e6ed-4023-be94-3b7211d34705","26b0d00a-6fe7-4429-8320-e4ce9318471f","Armaf - Club De Nuit Intense 6.8 oz EDP SP","Woody","",""
"9eb3929f-d206-45b5-84bc-8bcbe3a9c379","41a8c80e-e3a5-47a9-974c-d5c7ca0a6052","Aurum Privée Edit - BBW- Aromatherapy Bath Soak Lavender & Vanilla","Floral","",""
"e0c407cf-4627-4e1f-a098-ff94681426ef","e950b278-b732-463e-ad38-19f02ea2364f","Aurum Privée Edit - BBW- Aromatherapy Hand Cream 1oz Lavender & Vanilla","Floral","",""
"5f6e9f14-2a64-4253-8c30-3f348b46d9d9","e513553b-e26e-46d1-9912-2cfc57465d33","Aurum Privée Edit - BBW- Aromatherapy Luxe Bath Lavender & Vanilla","Floral","",""
"15ec900c-0ee8-4ad1-a889-90c4bf63b387","269f8c22-92c4-404f-8f5c-98f4c0737ac5","Aurum Privée Edit - BBW- Aromatherapy Stress Relief Lotion Eucalyptus & Spearmint","Floral","",""
"6755009f-2aa4-4002-9990-9ab9a899fa14","1a964d15-cdfc-4df7-8416-dce881fa847f","Aurum Privée Edit - Carolina Herrera- 212 Nyc / EDT Spray 2.7 oz","Gourmand","",""
"9ff5dd84-4442-4044-8ff7-1aa96b9e8589","6d2c6a1a-4255-454c-b882-6d7ef196e97f","Aurum Privée Edit - Carolina Herrera- 212 Nyc Rose EDT Spray 2.7 oz","Gourmand","",""
"3997fba2-4a92-4bea-867d-3ff65517c016","8b9a9b97-f76e-4852-bf6e-06b5e5357c85","Aurum Privée Edit - Fatale Agent Provocateur","Floral","",""
"ab0592d7-7445-42fd-ba19-3d8f096dd883","68e9835b-d7b3-432d-8254-af945363d509","Aurum Privée Edit - Giorgio Armani- Armani  Diamonds  Men 2.5  EDT  SP","Floral","",""
"29199911-9ce6-4602-9551-629013ecee3f","c2c0cc52-3922-4001-adee-42b8b91e8a81","Aurum Privée Edit - Jean Paul Gautlier Le Male Travel Exclusive 1.4oz","Woody","",""
"a4a6507d-0e8b-4a72-b464-ed7e39dc9602","bb07c6f4-b8ae-4431-90cc-7532075ae921","Aurum Privée Edit - Jessica Simpson Body Lotion 3 FL","Floral","",""
"84fd9dcf-267b-4ceb-9ba5-4f52cf883af9","72b71795-39f5-41e3-b996-43920f9a475f","Aurum Privée Edit - Michael Kors Wonderlust Set","Gourmand","",""
"485d7f10-d396-4de1-ad07-9f7b9b4d8dd4","61318c30-f8db-4203-9652-4aa512e7de62","Aurum Privée Edit - Nina Ricci Rose Woman 2.7 Edt Sp","Floral","",""
"593c2f85-7f01-4eb8-b6df-87a6c5ecdd4f","0e0fe679-7df0-4a2b-8144-6efc669a8014","Aurum Privée Edit - Paris Hilton for Men","Gourmand","",""
"0c68ee07-21be-4fbb-86b9-f905ee9d58ef","5bddc003-1531-4f84-b4ca-d83146bc2399","Aurum Privée Edit - Wallflowers- Bergamot Waters","Floral","",""
"7651d65c-8ca0-44e0-8cfb-d4460912624e","5d24e435-de4b-4201-9ba4-f8a002bf597e","Aurum Privée Edit - Wallflowers- Black Cherry Merlot","Floral","",""
"0c3fec7b-a11c-4580-a0fd-50696d516806","b71ebdf5-c117-46c9-8989-d33af6ffff13","Aurum Privée Edit - Wallflowers- Cactus Blossom","Floral","",""
"0145203a-33e0-41f0-9750-82e2490dbba2","07dd1c29-23f8-4d6c-abfa-0c4ad3d6af22","BBW - A Thousand Wishes Body Butter 6.5 oz","Floral","",""
"233e1c82-8f47-4788-82be-7f70f8dc9faf","4d6f955a-f55d-44c7-a15b-aa1972edbcfb","BBW - A Thousand Wishes Body Wash 10 fl oz","Floral","",""
