handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,packageLength,packageWidth,packageHeight,packageUnit,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
ap-family-antonio-banderas-diavolo,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/5d713a6b-8e7d-4762-b409-d07ba10a7dbd.webp,Antonio Banderas-  Men's Diavolo EDT Spray 6.75 oz product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-antonio-banderas-diavolo,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/48f6f1ef-745e-454f-b4da-741001cfd071.webp,Antonio Banderas- Men's Diavolo EDT Spray 1.7 oz product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-calvin-klein-in2u,PRODUCT,CK IN2U,TRUE,An authentic women’s fragrance collection selected for the Aurum Privée collection.,all-fragrances;for-her;floral,all-fragrances,,,,Calvin Klein,55.00,,,,,,,,FALSE,,,,,,,,,,Edition,TEXT_CHOICES,3.4 oz · Eau de Toilette;5.0 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-calvin-klein-in2u,VARIANT,,,,,,,,,,55.00,,,,,,,2,FALSE,,,9cac1c4f-a5b1-41c0-85a0-855fef578cd0,,,,,,,,,3.4 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-calvin-klein-in2u,VARIANT,,,,,,,,,,72.00,,,,,,,3,FALSE,,,89438ef5-9d37-4d3a-b228-eaa4b356ccad,,,,,,,,,5.0 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-calvin-klein-in2u,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/e818cc29-2373-4d7d-854c-320f94c6300f.webp,Calvin Klein- In 2 U 3.4 EDT product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-calvin-klein-in2u,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/54af2cc1-40a2-4a42-9e72-9d4cd2fe0c88.webp,Calvin Klein- In 2 U 5.0 EDT product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-carolina-herrera-212-nyc,PRODUCT,212 NYC,TRUE,An authentic women’s fragrance collection selected for the Aurum Privée collection.,all-fragrances;for-her;floral,all-fragrances,,,,Carolina Herrera,127.00,,,,,,,,FALSE,,,,,,,,,,Edition,TEXT_CHOICES,3.4 oz · Eau de Toilette;2.7 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-carolina-herrera-212-nyc,VARIANT,,,,,,,,,,127.00,,,,,,,5,FALSE,,,e9f781d8-b677-4a25-8ecf-010e68f9fc41,,,,,,,,,3.4 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-carolina-herrera-212-nyc,VARIANT,,,,,,,,,,122.00,,,,,,,2,FALSE,,,6755009f-2aa4-4002-9990-9ab9a899fa14,,,,,,,,,2.7 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-carolina-herrera-212-nyc,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/ca652989-f345-4bbe-95f5-2bc61626cc5c.webp,Carolina Herrera- 212 Nyc / EDT Spray 3.4 oz product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-carolina-herrera-212-nyc,MEDIA,,,,,,https://aurumprivee.com/images/product-awaiting-photography.webp,Photography for Aurum Privée Edit Carolina Herrera- 212 Nyc / EDT Spray 2.7 oz is being prepared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-giorgio-armani-diamonds-men,PRODUCT,Armani Diamonds for Men,TRUE,An authentic men’s fragrance collection selected for the Aurum Privée collection.,all-fragrances;for-him;woody,all-fragrances,,,,Giorgio Armani,82.00,,,,,,,,FALSE,,,,,,,,,,Edition,TEXT_CHOICES,1.7 oz · Eau de Toilette;2.5 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-giorgio-armani-diamonds-men,VARIANT,,,,,,,,,,82.00,,,,,,,1,FALSE,,,5273c3cf-b326-41de-8c55-5a7181c377e9,,,,,,,,,1.7 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-giorgio-armani-diamonds-men,VARIANT,,,,,,,,,,100.00,,,,,,,3,FALSE,,,ab0592d7-7445-42fd-ba19-3d8f096dd883,,,,,,,,,2.5 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-giorgio-armani-diamonds-men,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/73f80857-6603-49ae-a2b1-5e8f2d2731d2.webp,Giorgio Armani- Armani  Diamonds  Men  1.7  EDT  SP product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-giorgio-armani-diamonds-men,MEDIA,,,,,,https://aurumprivee.com/images/product-awaiting-photography.webp,Photography for Aurum Privée Edit Giorgio Armani- Armani  Diamonds  Men 2.5  EDT  SP is being prepared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-lady-million-fabulous,PRODUCT,Lady Million Fabulous Intense,TRUE,An authentic women’s fragrance collection selected for the Aurum Privée collection.,all-fragrances;for-her;floral,all-fragrances,,,,Paco Rabanne,125.00,,,,,,,,FALSE,,,,,,,,,,Edition,TEXT_CHOICES,1.7 oz · Eau de Parfum;2.7 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
